subdir,file name,test class,timing (seconds),res (true/false),domain
negative,zip00,Neg,7.88,T,Polka_ls
negative,indirectHO01,Neg,19.96,T,Polka_ls
negative,xyz2,Neg,0.64,T,Polka_ls
negative,xy10,Neg,0.22,T,Polka_ls
negative,01_ic3,Neg,0.07,T,Polka_ls
negative,ex23,Neg,0.29,T,Polka_ls
negative,inductive1-1,Neg,0.18,T,Polka_ls
negative,repeat,Neg,0.2,T,Polka_ls
negative,ack01false,Neg,0.69,T,Polka_ls
negative,xyz,Neg,0.6,T,Polka_ls
negative,zip_unzip,Neg,0.66,T,Polka_ls
negative,xy4,Neg,0.22,T,Polka_ls
negative,compose,Neg,0.13,T,Polka_ls
negative,up_down01,Neg,5.29,T,Polka_ls
negative,binomial00,Neg,4.18,T,Polka_ls
high,map_2,Pos,0.55,T,Polka_ls
high,flip_twice_1,Pos,timeout,ER,Polka_ls
high,fact_exn,Pos,0.14,T,Polka_ls
high,inc,Pos,0.7,T,Polka_ls
high,intro3,Pos,0.07,T,Polka_ls
high,neg1,Pos,0.34,F,Polka_ls
high,repeat_order,Pos,0.26,T,Polka_ls
high,intro-ord2,Pos,0.28,T,Polka_ls
high,foldr,Pos,1.53,T,Polka_ls
high,sum_cps,Pos,0.23,F,Polka_ls
high,sigma_sum,Pos,0.15,F,Polka_ls
high,apply_twice,Pos,0.23,F,Polka_ls
high,intro-ord3,Pos,1.2,T,Polka_ls
high,intro2,Pos,0.06,T,Polka_ls
high,repeat4,Pos,0.18,T,Polka_ls
high,hors,Pos,0.49,T,Polka_ls
high,repeat,Pos,0.27,T,Polka_ls
high,intro1,Pos,0.06,T,Polka_ls
high,app-lin-ord3,Pos,0.47,T,Polka_ls
high,foldl,Pos,1.72,T,Polka_ls
high,hrec,Pos,0.45,T,Polka_ls
high,app-nonrec,Pos,0.08,T,Polka_ls
high,app-lin-ord2,Pos,0.15,T,Polka_ls
high,max,Pos,0.39,T,Polka_ls
high,apply,Pos,0.19,T,Polka_ls
high,twice,Pos,0.07,T,Polka_ls
high,neg2,Pos,0.3,T,Polka_ls
high,exception,Pos,0.06,T,Polka_ls
high,power,Pos,0.65,T,Polka_ls
high,mixed_id,Pos,0.2,T,Polka_ls
high,app-succ,Pos,1.56,T,Polka_ls
